#SNname    zcmb    sBV    +/-   dm15   +/-   M(H)    +/-     M(J)    +/-     M(Y)    +/-     M(i)    +/-     M(V)    +/-     M(B)    +/-    
SN2004dt   0.01881  1.189 0.010  1.104 0.011  99.990  9.990  99.990  9.990  99.990  9.990 -19.197  0.132 -19.645  0.137 -19.808  0.142
SN2004ef   0.02977  0.816 0.003  1.354 0.016 -18.439  0.104 -18.463  0.139 -18.485  0.109 -18.338  0.076 -19.071  0.077 -19.106  0.078
SN2004eo   0.01474  0.823 0.005  1.390 0.014 -18.302  0.152 -18.493  0.151 -18.302  0.157 -18.440  0.149 -19.022  0.150 -19.093  0.149
SN2004ey   0.01463  1.010 0.003  0.930 0.037 -18.068  0.149 -18.430  0.149 -18.338  0.149 -18.363  0.149 -19.109  0.149 -19.177  0.150
SN2004gc   0.03071  0.922 0.023  1.078 0.046  99.990  9.990  99.990  9.990  99.990  9.990 -18.540  0.111 -19.266  0.103 -19.302  0.115
SN2004gs   0.02828  0.690 0.004  1.602 0.027 -18.179  0.100 -18.414  0.112 -18.311  0.098 -18.184  0.079 -18.764  0.080 -18.749  0.081
SN2004gu   0.04690  1.250 0.011  0.813 0.010 -18.302  0.111 -18.740  0.197 -18.545  0.077 -18.585  0.053 -19.505  0.055 -19.514  0.057
SN2005A    0.01834  0.963 0.011  1.109 0.054 -18.445  0.145 -18.668  0.169 -18.752  0.157 -18.440  0.123 -19.410  0.124 -19.397  0.124
SN2005M    0.02558  1.209 0.002  0.865 0.025 -18.525  0.086 -18.721  0.086 -18.653  0.086 -18.802  0.087 -19.566  0.088 -19.629  0.088
SN2005W    0.00795  0.923 0.008  1.121 0.034  99.990  9.990  99.990  9.990  99.990  9.990 -18.252  0.279 -18.997  0.282 -19.058  0.282
SN2005ag   0.08008  1.189 0.008  0.890 0.078  99.990  9.990 -18.523  0.118  99.990  9.990 -18.595  0.035 -19.454  0.039 -19.506  0.041
SN2005al   0.01329  0.858 0.003  1.181 0.045 -18.054  0.169 -18.284  0.181 -18.155  0.173 -18.042  0.164 -18.776  0.164 -18.850  0.164
SN2005am   0.00897  0.725 0.003  1.486 0.054 -18.685  0.243 -19.003  0.254 -18.819  0.244 -18.712  0.243 -19.333  0.243 -19.339  0.243
